# Block-id-related strings

  @ 113c9aa8  ""CMIC_STAT_DMA_PORTNUM_MAP_63_60""
  @ 113c9ac8  ""CMIC_STAT_DMA_PORTNUM_MAP_67_64""
  @ 113c9ae8  ""CMIC_STAT_DMA_PORTNUM_MAP_71_68""
  @ 113c9b08  ""CMIC_STAT_DMA_PORTNUM_MAP_75_72""
  @ 113c9b28  ""CMIC_STAT_DMA_PORTNUM_MAP_79_76""
  @ 113c9b48  ""CMIC_STAT_DMA_PORTNUM_MAP_83_80""
  @ 113c9b68  ""CMIC_STAT_DMA_PORTNUM_MAP_87_84""
  @ 113c9b88  ""CMIC_STAT_DMA_PORTNUM_MAP_91_88""
  @ 113c9ba8  ""CMIC_STAT_DMA_PORTNUM_MAP_95_92""
  @ 113c9bc8  ""CMIC_SRAM_TM0_CONTROL""
  @ 113c9be0  ""CMIC_SRAM_TM1_CONTROL""
  @ 113c9bf8  ""CMIC_SRAM_TM2_CONTROL""
  @ 113c9c10  ""CMICM_COMMON_CONFIG""
  @ 113c9c24  ""CMIC_MISC_CONTROL""
  @ 113c9c38  ""CMIC_MISC_STATUS""
  @ 113c9c4c  ""CMIC_SRAM_TM3_CONTROL""
  @ 113c9c64  ""CMIC_COMMON_PCIE_PIO_ENDIANESS""
  @ 113c9c84  ""CMIC_COMMON_UC0_PIO_ENDIANESS""
  @ 113c9ca4  ""CMIC_COMMON_UC1_PIO_ENDIANESS""
  @ 113c9cc4  ""CMIC_COMMON_SPI_PIO_ENDIANESS""
  @ 113c9ce4  ""CMIC_COMMON_I2C_PIO_ENDIANESS""
  @ 113c9d04  ""CMIC_COMMON_RPE_PIO_ENDIANESS""
  @ 113c9d24  ""CMIC_PIO_MCS_ACCESS_PAGE""
  @ 113c9d40  ""CMIC_PCIE_CONFIG""
  @ 113c9d54  ""CMIC_UC0_CONFIG""
  @ 113c9d64  ""CMIC_UC1_CONFIG""
  @ 113c9d74  ""CMIC_PCIE_ERROR_STATUS""
  @ 113c9d8c  ""CMIC_PCIE_ERROR_STATUS_CLR""
  @ 113c9da8  ""CMIC_SW_RST""
  @ 113c9db4  ""CMIC_CPS_RESET""
  @ 113c9dc4  ""CMIC_DEV_REV_ID""
  @ 113c9dd4  ""CMICM_REVID""
  @ 113c9de0  ""PCIE_RST_CONTROL""
  @ 113c9df4  ""CMIC_OVERRIDE_STRAP""
  @ 113c9e08  ""CMIC_COMMON_BSPI_BIGENDIAN""
