# Packet DMA / DCB / HiGig related strings

  "higig2_multicast_vlan_range"                           @ 1141a3c4  in FUN_10f532bc
  "IUNHGI"                                                @ 1141b1b8  in ?
  "higig_max_speed"                                       @ 1141b6fc  in FUN_10f6c3f0
  "higig2_multicast_vlan_range"                           @ 1141b7a0  in FUN_10f6c3f0
  "HiGig"                                                 @ 1142b3a0  in ?
  "HiGig2"                                                @ 1142b3b0  in ?
  "HiGig2_L2"                                             @ 1142b3b8  in ?
  "HiGig2_IP_GRE"                                         @ 1142b3c4  in ?
  "WC config init, CL37 BAM is not enabled with HG/BAM mo @ 1142fdb4  in FUN_10fe0988
  u"ttsssrrrqqpppooonnnmmlllkkkjjjiiihhhgggffeeedddccccbb @ 11434dc4  in FUN_110594b8
  u"ttsssrrrqqpppooonnnmmlllkkkjjjiiihhhgggffeeedddccccbb @ 11434dc4  in FUN_110594b8
  "AN type:%d rf:%d paus:%d, tech_ability:%d fec:%d higig @ 11443e90  in FUN_11182660
  "WCMOD_SPD_10600_XFI_HG"                                @ 11445648  in ?
  "TSCMOD_SPD_10600_XFI_HG"                               @ 1144dac8  in ?
  "TSCMOD_DIAG_HG"                                        @ 1144e118  in ?
  "TSCMOD_DIAG_HG_IDX"                                    @ 1144e36c  in ?
  "  AN_X4_ABILITIES_LOCAL_DEVICE_OVER1G_ABILITIES_1r(%0x @ 1145291c  in FUN_111e616c
  "       21GX4=%0d 24.45GX4=%0d 31.5GX4=%0d 32.7G=%0d 40 @ 11452f7c  in FUN_111e616c
  "  AN_ABILITY_RESOLUTION_STATUSr(%0x) d=%0x err=%0d hcd @ 11453540  in FUN_111e616c
  "DLB_HGT_ETHERTYPE_ELIGIBILITY_MAP"                     @ 11458ce8  in ?
  "DLB_HGT_ETHERTYPE_ELIGIBILITY_MAP"                     @ 11458ce8  in ?
  "DLB_HGT_FLOWSET"                                       @ 11458d0c  in ?
  "DLB_HGT_FLOWSET"                                       @ 11458d0c  in ?
  "DLB_HGT_FLOWSET_PORT"                                  @ 11458d1c  in ?
  "DLB_HGT_FLOWSET_PORT"                                  @ 11458d1c  in ?
  "DLB_HGT_FLOWSET_PORT_X"                                @ 11458d34  in ?
  "DLB_HGT_FLOWSET_PORT_X"                                @ 11458d34  in ?
  "DLB_HGT_FLOWSET_PORT_X"                                @ 11458d34  in ?
  "DLB_HGT_FLOWSET_PORT_Y"                                @ 11458d4c  in ?
