# BCM SDK Register Name Table extracted from switchd
# Table base: 11bcac14
# 36896 valid entries, 0 null/skipped, scanned 36896 slots

# reg_id  | name
# --------+----------------------
0x0182   AXIIC_DS_0_IDM_ERROR_LOG_STATUS
0x0183   AXIIC_DS_0_IDM_INTERRUPT_STATUS
0x0184   AXIIC_DS_0_IDM_RESET_READ_ID
0x0185   AXIIC_DS_0_IDM_RESET_STATUS
0x0186   AXIIC_DS_0_IDM_RESET_WRITE_ID
0x0187   AXIIC_DS_1_IDM_ERROR_LOG_ADDR_LSB
0x0188   AXIIC_DS_1_IDM_ERROR_LOG_COMPLETE
0x0189   AXIIC_DS_1_IDM_ERROR_LOG_CONTROL
0x018a   AXIIC_DS_1_IDM_ERROR_LOG_FLAGS
0x018b   AXIIC_DS_1_IDM_ERROR_LOG_ID
0x018c   AXIIC_DS_1_IDM_ERROR_LOG_STATUS
0x018d   AXIIC_DS_1_IDM_INTERRUPT_STATUS
0x018e   AXIIC_DS_1_IDM_RESET_READ_ID
0x018f   AXIIC_DS_1_IDM_RESET_STATUS
0x0190   AXIIC_DS_1_IDM_RESET_WRITE_ID
0x0191   AXIIC_DS_3_IDM_ERROR_LOG_ADDR_LSB
0x0192   AXIIC_DS_3_IDM_ERROR_LOG_COMPLETE
0x0193   AXIIC_DS_3_IDM_ERROR_LOG_CONTROL
0x0194   AXIIC_DS_3_IDM_ERROR_LOG_FLAGS
0x0195   AXIIC_DS_3_IDM_ERROR_LOG_ID
0x0196   AXIIC_DS_3_IDM_ERROR_LOG_STATUS
0x0197   AXIIC_DS_3_IDM_INTERRUPT_STATUS
0x0198   AXIIC_DS_3_IDM_RESET_READ_ID
0x0199   AXIIC_DS_3_IDM_RESET_STATUS
0x019a   AXIIC_DS_3_IDM_RESET_WRITE_ID
0x019b   AXIIC_DS_4_IDM_ERROR_LOG_ADDR_LSB
0x019c   AXIIC_DS_4_IDM_ERROR_LOG_COMPLETE
0x019d   AXIIC_DS_4_IDM_ERROR_LOG_CONTROL
0x019e   AXIIC_DS_4_IDM_ERROR_LOG_FLAGS
0x019f   AXIIC_DS_4_IDM_ERROR_LOG_ID
0x01a0   AXIIC_DS_4_IDM_ERROR_LOG_STATUS
0x01a1   AXIIC_DS_4_IDM_INTERRUPT_STATUS
0x01a2   AXIIC_DS_4_IDM_RESET_READ_ID
0x01a3   AXIIC_DS_4_IDM_RESET_STATUS
0x01a4   AXIIC_DS_4_IDM_RESET_WRITE_ID
0x01a5   AXIIC_I2S_M0_FN_MOD
0x01a6   AXIIC_I2S_M0_READ_QOS
0x01a7   AXIIC_I2S_M0_WRITE_QOS
0x01a8   AXIIC_IHOST_ACP_FN_MOD_BM_ISS
0x01a9   AXIIC_IHOST_ACP_SECURITY
0x01aa   AXIIC_IHOST_M1_AR_B
0x01ab   AXIIC_IHOST_M1_AR_P
0x01ac   AXIIC_IHOST_M1_AR_R
0x01ad   AXIIC_IHOST_M1_AW_B
0x01ae   AXIIC_IHOST_M1_AW_P
0x01af   AXIIC_IHOST_M1_AW_R
0x01b0   AXIIC_IHOST_M1_FN_MOD
0x01b1   AXIIC_IHOST_M1_KI
0x01b2   AXIIC_IHOST_M1_MAX_COMB_OT
0x01b3   AXIIC_IHOST_M1_MAX_OT
0x01b4   AXIIC_IHOST_M1_QOS_CNTL
0x01b5   AXIIC_IHOST_M1_QOS_RANGE
0x01b6   AXIIC_IHOST_M1_READ_QOS
0x01b7   AXIIC_IHOST_M1_TGT_LATENCY
0x01b8   AXIIC_IHOST_M1_WRITE_QOS
0x01b9   AXIIC_IHOST_S0_FN_MOD
0x01ba   AXIIC_IHOST_S0_FN_MOD_BM_ISS
0x01bb   AXIIC_IHOST_S0_SECURITY
0x01bc   AXIIC_JTAG_M0_FN_MOD
0x01bd   AXIIC_JTAG_M0_READ_QOS
0x01be   AXIIC_JTAG_M0_WRITE_QOS
0x01bf   AXIIC_NAND_S0_FN_MOD_BM_ISS
0x01c0   AXIIC_NAND_S0_SECURITY
0x01c1   AXIIC_PCIE0_M0_AR_B
0x01c2   AXIIC_PCIE0_M0_AR_P
0x01c3   AXIIC_PCIE0_M0_AR_R
0x01c4   AXIIC_PCIE0_M0_AW_B
0x01c5   AXIIC_PCIE0_M0_AW_P
0x01c6   AXIIC_PCIE0_M0_AW_R
0x01c7   AXIIC_PCIE0_M0_FN_MOD
0x01c8   AXIIC_PCIE0_M0_KI
0x01c9   AXIIC_PCIE0_M0_MAX_COMB_OT
0x01ca   AXIIC_PCIE0_M0_MAX_OT
0x01cb   AXIIC_PCIE0_M0_QOS_CNTL
0x01cc   AXIIC_PCIE0_M0_QOS_RANGE
0x01cd   AXIIC_PCIE0_M0_READ_QOS
0x01ce   AXIIC_PCIE0_M0_TGT_LATENCY
0x01cf   AXIIC_PCIE0_M0_WRITE_QOS
0x01d0   AXIIC_PCIE0_S0_FN_MOD_BM_ISS
0x01d1   AXIIC_PCIE0_S0_SECURITY
0x01d2   AXIIC_PCIE1_M0_AR_B
0x01d3   AXIIC_PCIE1_M0_AR_P
0x01d4   AXIIC_PCIE1_M0_AR_R
0x01d5   AXIIC_PCIE1_M0_AW_B
0x01d6   AXIIC_PCIE1_M0_AW_P
0x01d7   AXIIC_PCIE1_M0_AW_R
0x01d8   AXIIC_PCIE1_M0_FN_MOD
0x01d9   AXIIC_PCIE1_M0_KI
0x01da   AXIIC_PCIE1_M0_MAX_COMB_OT
0x01db   AXIIC_PCIE1_M0_MAX_OT
0x01dc   AXIIC_PCIE1_M0_QOS_CNTL
0x01dd   AXIIC_PCIE1_M0_QOS_RANGE
0x01de   AXIIC_PCIE1_M0_READ_QOS
0x01df   AXIIC_PCIE1_M0_TGT_LATENCY
0x01e0   AXIIC_PCIE1_M0_WRITE_QOS
